DossierId;Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Bestand_Vorm_Redactiegenre;Bestand_Formaat_Bestandsnaam;Bestand_Formaat_BestandsOmvang;Bestand_Formaat_BestandsFormaat;Bestand_Formaat_FysiekeIntegriteit_Algoritme
NL-0784-BV000001532;badkamer in bestande woning Nieuwstraat 63 17-06-1943;Vrij te gebruiken;17-06-1943;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000002818.pdf;2470062;fmt/18;sha256
NL-0784-BV000001574;bouwen schuur met noodwoning Mosstraat 8 02-10-1945;Vrij te gebruiken;02-10-1945;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002943.pdf;638865;fmt/18;sha256
NL-0784-BV000001574;bouwen schuur met noodwoning Mosstraat 8 02-10-1945;Vrij te gebruiken;02-10-1945;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002944.pdf;18045465;fmt/18;sha256
NL-0784-BV000001574;bouwen schuur met noodwoning Mosstraat 8 02-10-1945;Vrij te gebruiken;02-10-1945;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002945.pdf;10966059;fmt/18;sha256
NL-0784-BV000001574;bouwen schuur met noodwoning Mosstraat 8 02-10-1945;Vrij te gebruiken;02-10-1945;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000002946.pdf;3122697;fmt/18;sha256
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;Vrij te gebruiken;02-07-1946;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000003031.pdf;1106932;fmt/18;sha256
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;Vrij te gebruiken;02-07-1946;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000003032.pdf;16654984;fmt/18;sha256
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;Vrij te gebruiken;02-07-1946;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000003033.pdf;1828512;fmt/18;sha256
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;Vrij te gebruiken;02-07-1946;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000003034.pdf;16412177;fmt/18;sha256
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;Vrij te gebruiken;02-07-1946;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000003035.pdf;2580370;fmt/18;sha256
NL-0784-BV000001680;herbouwen schuur de Blommers 2 18-09-1947;Vrij te gebruiken;18-09-1947;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000003322.pdf;575281;fmt/18;sha256
NL-0784-BV000001680;herbouwen schuur de Blommers 2 18-09-1947;Vrij te gebruiken;18-09-1947;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000003323.pdf;10787613;fmt/18;sha256
NL-0784-BV000001680;herbouwen schuur de Blommers 2 18-09-1947;Vrij te gebruiken;18-09-1947;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000003324.pdf;2331475;fmt/18;sha256
NL-0784-BV000012165;bouwen twee zomerhuisjes met garage Rijense Dijk 23-06-1932;Vrij te gebruiken;23-06-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000003669.pdf;529099;fmt/18;sha256
NL-0784-BV000012165;bouwen twee zomerhuisjes met garage Rijense Dijk 23-06-1932;Vrij te gebruiken;23-06-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000003670.pdf;3307551;fmt/18;sha256
